parent_key,name,brand,cover_image_key,confidence,option_groups_json
3q-bibi,Thạch 3Q Bibi,Bibi,bgkq-0075,high,"[""color""]"
3q-ok,Thạch 3Q OK,OK,bgkq-0080,high,"[""type""]"
3q-sea,Thạch 3Q Sea,Sea,bgkq-0077,high,"[""color""]"
bao-ly,Bao ly,,bgkq-0212,high,"[""type""]"
bot-gtp,Bột GTP,GTP,bgkq-0141,high,"[""flavor""]"
bot-king,Bột King,King,bgkq-0139,high,"[""flavor""]"
bot-sua-frima,Bột sữa Frima,Frima,bgkq-0123,high,"[""packing""]"
duong-den-black,Đường đen Black,Black,bgkq-0051,high,"[""size""]"
duong-monita,Đường Monita,Monita,bgkq-0054,high,"[""type""]"
flan-mole,Flan Mole,Mole,bgkq-0110,high,"[""flavor""]"
flan-mota,Flan Mota,Mota,bgkq-0108,high,"[""flavor""]"
khoai-tay-dong-lanh,Khoai tây đông lạnh,,bgkq-0236,high,"[""size""]"
mi-koreno,Mì Koreno,Koreno,bgkq-0218,high,"[""pack"", ""type""]"
muong-nhua,Muỗng nhựa,,bgkq-0207,high,"[""type""]"
nap-ly,Nắp ly,,bgkq-0210,high,"[""type""]"
nuoc-bo,Nước bò,,bgkq-0272,high,"[""size""]"
ong-hut,Ống hút,,bgkq-0203,high,"[""color"", ""diameter"", ""type""]"
pho-mai-mozzarella,Phô mai Mozzarella,,bgkq-0197,high,"[""size""]"
sinh-to-berrino,Sinh tố Berrino,Berrino,bgkq-0016,high,"[""flavor""]"
sinh-to-mama-gold,Sinh tố Mama Gold,Mama Gold,bgkq-0027,high,"[""flavor""]"
sinh-to-vina,Sinh tố Vina,Vina,bgkq-0041,high,"[""flavor"", ""size""]"
siro-gtp,Siro GTP,GTP,bgkq-0006,high,"[""flavor_or_type""]"
siro-mama-gold,Siro Golden Farm,Golden Farm,bgkq-0004,high,"[""size""]"
siro-vina,Siro Vina,Vina,bgkq-0008,high,"[""flavor""]"
sot-gold,Sốt Gold Matcha,,bgkq-0088,high,[]
sua-dac-larose,Sữa đặc Larose,Larose,bgkq-0132,high,"[""lid""]"
thai,Đào lon Thái,,bgkq-0093,high,[]
tra-co-gai,Trà Cô Gái,Cô Gái,bgkq-0173,high,"[""type""]"
tra-loc-phat,Trà Lộc Phát,Lộc Phát,bgkq-0148,high,"[""type""]"
tra-novia,Trà Novia,Novia,bgkq-0170,high,"[""type""]"
tra-phuc-long,Trà Phúc Long,Phúc Long,bgkq-0161,high,"[""type""]"
tra-thai,Trà Thái,,bgkq-0169,high,"[""type""]"
tra-tui-loc-tnb,Trà túi lọc TNB,TNB,bgkq-0158,high,"[""type""]"
tran-chau-douxian,Trân châu Douxian,Douxian,bgkq-0063,high,"[""size"", ""type""]"
tran-chau-gia-uy,Trân châu Gia Uy,Gia Uy,bgkq-0069,high,"[""type""]"
tran-chau-kuhan,Trân châu Kuhan,Kuhan,bgkq-0072,high,"[""size"", ""type""]"
